<Hash=0xB412CAF>	One of us... One of us...
<Hash=0x5F2F4BA3>	Now, that's been decided, each of you have an important task to complete. I expect each Council member to speak with at least 3 different students before the next meeting. We will use the information we gather to decide the Council's next step. Well, that's it for today. Meeting adjourned!
<Hash=0x50E12C8>	This meeting is now in session. During yesterday's meeting, we really hit a wall when it came to ideas. Unfortunately, we really didn't know what to do. So, did anyone come up with anything?
<Hash=0xB0E1C3A>	No? Nothing? Anybody, else? Yes! Abbey, what do you think we should do?
<Hash=0x90E1914>	Hmmm... So, what you're saying is that we hit the corridors of Monster High and talk to the Students to find out what they need and want. That's brilliant! The popularity of each item can decide the priority of each project. I like it a lot! We give the power to the people...
<Hash=0xA0E1AA7>	This could be a real winner! How about we take a vote? All those in favor of surveying the students and allowing them to choose the projects the Council will implement, raise your hand.
<Hash=0x9E1A9418>	That's 5 to 1 in favor. The motion is passed. The Council will launch an Awareness Campaign. Our objective is to roam the halls of Monster High, speaking to students to find out what they need and want, so we can improve their overall school experience.
<Hash=0xA11A98D1>	That's 4 to 2 in favor. The motion is passed. The Council will launch an Awareness Campaign. Our objective is to roam the halls of Monster High, speaking to students to find out what they need and want, so we can improve their overall school experience.
<Hash=0xAE724C6>	OK, down to business. This meeting of the Student Council is now in session. Sooo, Lagoona how did we go in our data gathering mission with the Student Body?
<Hash=0x1DDF2C1C>	Anyone else? Come on, there's gotta be something better than taxing the toilets, that just 'aint gonna work! Hey Ghoul, did you say something?
<Hash=0x774CE5B5>	Nothing? Anybody? Ah, Lagoona! What's your fundraising idea?
<Hash=0x744CE0FC>	A Bake Sale! That's a monstrous idea, I'm disappointed I didn't think of it myself.
<Hash=0x19DF25D0>	That's a fangtastic idea! I'm just disappointed that I didn't come up with it myself.
<Hash=0x1ADF2763>	OK, this looks like a no-brainer, but in the interests of democracy we'll take a vote. All those in favor of a Bake Sale to get funds, raise your hands.
<Hash=0x636D19E4>	Well, so much for "Nay"!!!
<Hash=0x666D1E9D>	That's 5 to 1 in favor of the Bake Sale. The motion is passed. A Bake Sale it is then!
<Hash=0x99DC1DB9>	That's all in favor. The motion is passed with a unanimous decision. Our fundraiser will be a Bake Sale!
<Hash=0x98DC1C26>	OK, now that our fundraiser has been decided upon, we need to choose the best way to get the word out to the Students. Lagoona, how did it go with the ideas on how to get word out to all of the students at Monster High, I asked for?
<Hash=0x96DC1900>	So, what about the actual flyers?
<Hash=0x9CDC2272>	Fangtastic! So we're ready to go then. Each Council member will take some flyers and post up at least 10 of them around the School before tomorrow's meeting. Good work everyone, meeting's adjourned.
<Hash=0xA0DC28BE>	Things are really going well, it's definitely my leadership that's doing the trick!!!
<Hash=0xEE72B12>	That's great! So, did you get a chance to compile the list yet?
<Hash=0xCE727EC>	Thanks for that Lagoona... Great work everyone, that's exactly what we needed. Now, onto the next order of business. How to raise the funds needed to fix these issues?
<Hash=0x13E732F1>	Ideas, anyone?
<Hash=0x59AD09E1>	Oh, it's nothing. You just spaced-out for a minute. Maybe, go and see the school nurse after the meeting's over, just to be safe ghoul. OK then, next item on the agenda...
<Hash=0x58AD084E>	Creepilicious Cookies! We need to get 'em so we can sell 'em. A Bake Sale without baked goods isn't a sale at all. So, can anyone think of a way to get our hands on a bunch of Creepilicious Cookies on the cheap? How about you New Ghoul? You're always full of good ideas.
<Hash=0xBB5F51EB>	Of course! The Cooking Club. Why didn't I think of that? Better still, Deuce owes me a couple of favors, so I'll call one of 'em in...
<Hash=0xBC5F537E>	Too bad... Anybody else? Abbey why dontcha give it to us! What's your clawsome idea for coming by cookies?
<Hash=0x5CAD0E9A>	That's perfect! Deuce owes me a few favors, so I'll call one of them in...
<Hash=0x5BAD0D07>	Well, that's it for today ghouls. Just before we go, New Ghoul, can I count on you to go and speak to Deuce at the Cooking Club to see if they can bake the Creepilicious Cookies?
<Hash=0xBB5285F8>	Great! Thank's for that, and remember, if Deuce is hesitant to help us out, remind him that he owes Toralei one. He'll know what it means and it should seal the deal. OK, meeting's adjourned. See you all at the fundraiser tomorrow.
<Hash=0xBE528AB1>	Oh, come on Ghoul! That's a terrible attitude. Anyone ever tell you there's no 'I' in Team? No? Well I don't really care, so get to it! I'm ordering you to help the Council out, go and speak to Deuce now!
<Hash=0xDF80C3C4>	This Council meeting is now in session. So everyone, how did everything go with the flyers? Any feedback from the students yet? Catrine, what did you want to say?
<Hash=0xE180C6EA>	That's fangtastic! Anyone else with something to add? Spectra.
<Hash=0xD380B0E0>	Ahhhh! Sure Spectra, that helps a lot... You feeling OK, ghoul? Maybe you should try posting that up on your blog?
<Hash=0x5FF86690>	OK everyone, we've got a busy day ahead, so we'd better get a move on! On that note, the meeting is now in session. As you can probably smell - hmmmmmmm - Deuce brought in a bunch of Creepilicious Cookies that the Cooking Club baked up for the fundraiser. Now all we have to do is sell them! Lagoona, could you please outline everyone's sale positions for us?
<Hash=0x68F874BB>	Just ignore her Lagoona. I think she's cracking up, must be all that blogging she does messing with her brain! We don't have time for this! That's it everyone, let's go sell some cookies!!!
<Hash=0xB2309B15>	Good morning everyone, this Council meeting is now in session. No doubt, all of you are interested to hear about how yesterday's fundraising effort went. To give you the low-down on all the financial deets, I'll hand you over to Abbey our Treasurer...
<Hash=0xB03097EF>	Good work everyone! It's great to see all of you pulling together as a team. Now, just one more pressing matter before we break for the day. Ghoul would you be able deliver the funds to Headmistress Bloodgood, so that all of the improvements and repairs can be started?
<Hash=0xAB309010>	Yeah, ghoul! Take a chill-pill and have a lie down. I think the pressure's getting to ya.
<Hash=0xB930A61A>	It's nothing Spectra. I think we're all just tired. It was a really big day yesterday, I think we've all earned ourselves an early break. Meeting adjourned!
<Hash=0xD5A7AB7A>	Good morning everyone, the Council meeting is now in session. I have some great news! Last night the contractors came in and revamped the Creepateria. Now it has a huge flat-screen TV mounted to the wall, comfy new chairs, and all the Vending Machines have been fixed and are full of tasty BooBoo Fruits! Lagoona. Do we have any feedback from the students yet?
<Hash=0xA1F2A711>	So, does anyone have any suggestions about the type of cookie that we should sell? Catrine, what are your thoughts?
<Hash=0x9FF2A3EB>	I like it! It ties in nicely and clearly gets the message out. Are there any objections to selling Casketball Cookies at the next fundraiser? No? Excellent! Casketball cookies it is. Sooo... next on the agenda is flyers. Lagoona, you did such a fangtastic job of the flyers last time, would you be happy to do them again?
<Hash=0xA5F2AD5D>	Now, that's what I call initiative! Clawsome work Lagoona!!! That means we're ready to go. Time to post some flyers! Same deal team, but let's up the ante a little. This time around, each Council member will post up at least 15 flyers around the School. This should be done before tomorrow's meeting. Good work everyone, meeting's adjourned.
<Hash=0xD3A7A854>	That's totally clawsome! Well, I guess we'd better keep up the good work then. So what's the next item which needs our attention?
<Hash=0xD1A7A52E>	We should start planning our next Fundraiser to raise Money so that we can fix-up the Casketball Court. Are there any objections? No? Well let's get to work then...
<Hash=0xD0A7A39B>	We'll stick with what worked so well last time. So, it'll be another Bake Sale, we'll advertise using flyers again and with a little luck it'll be another HUGE success! Is there anything anyone thinks we should change this time around? Yes... Spectra?
<Hash=0xCDA79EE2>	Anybody else? Yes, Abbey...
<Hash=0x39C45D2F>	This meeting of the Student Council is now in session. So everyone, how did everything go with the flyers yesterday? Has there been any student feedback yet? Lagoona.
<Hash=0x3BC46055>	Clawsome! Anyone else with something to add? No. OK, on to the next item of business, getting the cookies. New Ghoul, do you mind hitting up Deuce again, to see if the Cooking Club will help out?
<Hash=0x35C456E3>	Well, that's about everything then! OK Team, go home and get some rest. You're gonna need it! Tomorrow's Bake Sale, should be even bigger than the last one. Meeting adjourned!
<Hash=0x5D3B6D94>	We've got a busy day ahead of us Team! But this time, we do know what to expect, so we're far better prepared. On that note, the meeting is now in session. Once again, Deuce and the Cooking Club have come up with the goods. They've baked almost twice as many cookies this time around, so with a little luck we won't sell out. Lagoona, what are we doing with the sale positions?
<Hash=0x553B60FC>	OK, that's it people, time to sell some cookies!!!
<Hash=0xF4E45BCD>	Well there's only one other person that knows my locker code... Howleen.
<Hash=0xEFE453EE>	Oh, you found my sand! Thank you!

Hey Gigi, you still want to be a normie?
<Hash=0xEDE450C8>	Oh sure, you can change to any Monster Type whenever you want!
<Hash=0xEBE44DA2>	There! You're a normie! How do you feel?
<Hash=0x51920AC2>	That's pretty weird. Did you grant the wish?
<Hash=0x5BE73C89>	Alright.
<Hash=0x58E737D0>	How about you <name>? Want to be a different Monster Type?
<Hash=0x890B8A19>	Scary-cool! We're going to change your Monster Type, ok?
<Hash=0x860B8560>	OK that's cool. Some monsters are just happy in their skin. Well, now that I have the bag back you can come change your Monster Type whenever you like. Just come and find me.
<Hash=0x5FE742D5>	Hey, you're back! Do you want to change your monster type?
<Hash=0x4B920150>	Well maybe I can help. My Boogeyman Sand is pretty powerful stuff. We can use it to switch Monster Type.
<Hash=0x4D920476>	Of course! It's in my locker, I'll go get it.
<Hash=0x57921434>	It's gone!!
<Hash=0xD8100D20>	Looks like some kind of hero!
<Hash=0xDA101046>	She can fly!!!
<Hash=0xBE1721FC>	Thanks so much for asking. Hands down it's gotta be those revolting chairs in the Creepateria. For a Plant Monster like myself, I can't go near them, much less sit on them - they're toxic!!! If you can fix that, I'd be ever so thankful. Oh, and a big TV on the wall so we can watch Ever After High, that would be freaky-fab!!!
<Hash=0x19987C18>	Wow! This is something new. The Student Council asking us what we need. Totally cool!
<Hash=0x5BECC2BB>	Creepy-cool, your flower is growing quite nicely.
<Hash=0x44B6471D>	Awww weeds! This whole situation is becoming quite a thorn in my side.
<Hash=0x42B643F7>	Oh dear, another mess. <name>, why don't you decide who gets the plant food? Iris or Gilda?
<Hash=0x5EECC774>	It's not a competition, ghouls. Besides, we don't even have any more plant food.
<Hash=0x174D3E02>	I know... it's monstrous!
<Hash=0xE48B2A9>	Don't be a shrinking violet, Iris. Your garden will catch up soon enough.
<Hash=0xD51072F>	Don't worry, Jane. Carnivorous plants get a bad reputation because of the Carnivore side, but they're really quite gentle.
<Hash=0xF510A55>	You're right! Information is key to proper plant care. I need to talk to someone at the Gory Gazette... I'll be back!
<Hash=0x95100E3>	Remember to use soothing words, then pat it twice, use more soothing words and pat it again.
<Hash=0xB510409>	Yes! And it's spooktacular!
<Hash=0x155113C7>	Not if everyone follows these instructions! Maybe we could get the word out in the Gory Gazette?
<Hash=0x9B4997F4>	Sunsational! Thanks Rochelle!
<Hash=0x9C499987>	<name>, did you hear that? We're going to be in the paper. Oh. Em. Gore. This is exciting! Come and see us tomorrow.
<Hash=0xEF4C5AC7>	That's not unnatural... IT'S MAGNIFICENT!
<Hash=0xC043C205>	No, I think Jane's right. It's just... enormous! It's... MAGNIFICENT!
<Hash=0xAD9BCEF9>	Guys, we've got maybe the rarest plant in the world to grow over 10 feet tall!
<Hash=0xAB9BCBD3>	It's a Carnivorous Cellaphod!
<Hash=0xB36617EC>	This is just maddening! Have you read this article? Do you see what Rochelle is saying about our garden?
<Hash=0x45B78F54>	I just wanted to have a chat about my plant article in the paper. Perhaps there's another way I could persuade you to print it?
<Hash=0x47B7927A>	Great, thank you Rochelle. I'm thrilled to hear that you're finally seeing things my way.
<Hash=0xB5661B12>	Right here... it says "Plants of all sizes are great, until they can eat the roof off your house."
<Hash=0xAF6611A0>	That's discrimination against plants!
<Hash=0xB16614C6>	There's no danger if you know how to look after it... cross my vines!
<Hash=0xCA5AD762>	But how?
<Hash=0xC75AD2A9>	You're right, but I don't want to go alone. I need a strong wing-ghoul to meet me in the Study Howl, and help me through it. <name>, it'd be a lot easier to face this with you by my side. Meet me there when you get the chance.
<Hash=0xC45ACDF0>	I have a confession to make. I used my pollen to persuade Rochelle to print my version of a story in the paper.
<Hash=0xD35AE58D>	The pollen can have an effect on your memory, Rochelle. It will come back to you in a couple of days. I am so sorry, ghoul. I got so passionate that I just... I'm sorry.
<Hash=0x30EE71FA>	What's up, ghouls?
<Hash=0xD25D2291>	You can count on it, ghoul! I've definitely learned my lesson. My friends helped me to see that using my powers on other monsters is wrong.
<Hash=0xD05D1F6B>	Yeah, they're the best. I really should go and tell them that.
<Hash=0xD55D274A>	Thanks <name>. And actually thanks to all of you. You helped me instead of pushing me away and I really appreciate it.
<Hash=0xD35D2424>	Yes! No pollen on other monsters. Period.
<Hash=0xC95D1466>	So it can stay!?
